type,category,oppositeAccount,oppositeAmount,date,amount,description,source
exchange,,Наличка,30000 KZT,2022-09-26,-3728.1 RUB,Снятие в банкомате,
exchange,,Наличка,30000 KZT,2022-09-26,-3728.1 RUB,Снятие в банкомате,
exchange,,Наличка,30000 KZT,2022-09-24,-3728.1 RUB,Снятие в банкомате,
exchange,,Наличка,30000 KZT,2022-09-24,-3728.1 RUB,Снятие в банкомате,
exchange,,Наличка,30000 KZT,2022-09-24,-3728.1 RUB,Снятие в банкомате,
exchange,,Наличка,30000 KZT,2022-09-22,-3930.6 RUB,Снятие в банкомате,
exchange,,Наличка,30000 KZT,2022-09-22,-3930.6 RUB,Снятие в банкомате,
exchange,,Наличка,~,,,Снятие в банкомате,
